normalized,raw,definition_fr
CHEVTCHOUK,Chevtchouk,Transcription française du patronyme ukrainien Шевчук.
CHIASSO,Chiasso,"Localité du canton du Tessin, en Suisse, à la frontière italienne."
CHIASSON,Chiasson,Patronyme porté notamment chez les Acadiens.
CHIBOUGAMAU,Chibougamau,"Ville et lac de la région du Nord-du-Québec, au Canada."
CHICHESTER,Chichester,"Municipalité de la municipalité régionale de comté de Pontiac, au Québec."
CHICONI,Chiconi,Commune du département de Mayotte.
CHICOUTIMI,Chicoutimi,"Ancienne municipalité devenue le plus grand arrondissement de la ville de Saguenay, au Québec."
CHIERS,Chiers,"Rivière du nord-est de la France, affluente de la Meuse."
CHIEVRES,Chièvres,"Ville de la province de Hainaut, en Wallonie."
CHIHIRO,Chihiro,Prénom mixte d'origine japonaise.
CHINAFRIQUE,Chinafrique,"Mot-valise désignant les relations, notamment économiques, entre la Chine et l'Afrique depuis les années 2010."
CHINCHEROS,Chincheros,"Ville de la région d'Apurímac, au Pérou."
CHIOS,Chios,"Île grecque de la mer Égée, proche des côtes turques."
CHIRAZ,Chiraz,"Ville d'Iran, réputée pour son patrimoine culturel et ses jardins."
CHIRON,Chiron,"1) Dans la mythologie grecque, centaure sage qui fut le précepteur d'Achille. 2) Petit corps céleste situé entre Saturne et Uranus, nommé en son honneur."
CHIRONGUI,Chirongui,Commune du département de Mayotte.
CHIRVAN,Chirvan,"Région historique de l'est du Caucase, autrefois perse et aujourd'hui située en Azerbaïdjan."
CHISASIBI,Chisasibi,"Réserve et municipalité de village de la région du Nord-du-Québec, au Canada."
CHISINAU,Chisinau,Capitale de la Moldavie.
CHLEF,Chlef,"Ville d'Algérie, chef-lieu de la wilaya du même nom."
CHLOE,Chloë,Variante orthographique du prénom féminin Chloé.
CHOISY,Choisy,Commune du département de la Haute-Savoie.
CHOKRI,Chokri,Transcription française d'un prénom masculin arabe.
CHOLON,Cholon,"Quartier à forte population d'origine chinoise de la ville de Hô-Chi-Minh-Ville, au Vietnam."
CHONGQING,Chongqing,Municipalité autonome et ville de l'ouest de la Chine.
CHOOZ,Chooz,Commune du département des Ardennes.
CHOUCHI,Chouchi,Ville de la région du Haut-Karabakh.
CHOUINARD,Chouinard,Patronyme porté notamment au Québec.
CHOULGUINE,Choulguine,Transcription française du patronyme russe Шульгин.
CHRISMEUSSE,Chrismeusse,Graphie phonétique populaire du mot anglais Christmas.
CHRISMISSE,Chrismisse,Autre graphie phonétique populaire du mot anglais Christmas.
CHRISMUSSE,Chrismusse,Encore une graphie phonétique populaire du mot anglais Christmas.
CHRISTEL,Christel,Variante orthographique du prénom Christelle.
CHRISTELE,Christèle,Autre variante orthographique du prénom Christelle.
CHRISTELLE,Christelle,"Prénom féminin, variante de Christine."
CHRISTIAN,Christian,"Prénom masculin, équivalents féminins Christiane, Christine ou Christelle."
CHRISTIANE,Christiane,"Prénom féminin, équivalent masculin Christian."
CHRISTINE,Christine,"1) Prénom féminin. 2) Dans certaines traditions populaires, personnage qui apporte des cadeaux la nuit du Nouvel An, à la manière du Père Noël."
CHRYSIPPE,Chrysippe,"Philosophe grec de l'Antiquité, l'une des grandes figures de l'école stoïcienne."
CHRYSTELLE,Chrystelle,Variante orthographique du prénom Christelle.
CHTIBA,Chtiba,Transcription française d'un patronyme arabe.
CHUCHANIK,Chuchanik,Variante orthographique du prénom Chouchanik.
CIA,CIA,Agence centrale de renseignement des États-Unis.
CIAM,CIAM,"Sigle des Congrès internationaux d'architecture moderne, mouvement d'architectes du XXe siècle."
CIBOURE,Ciboure,Commune du département des Pyrénées-Atlantiques.
CIC,CIC,"Sigle de Citoyenneté et Immigration Canada, ancien nom du ministère fédéral chargé de l'immigration."
CICERON,Cicéron,"Nom francisé de l'homme d'État, orateur et philosophe romain Cicéron."
CICR,CICR,"Sigle du Comité international de la Croix-Rouge, organisation humanitaire basée à Genève."
CIJ,CIJ,"Sigle de la Cour internationale de justice, principal organe judiciaire des Nations unies."
CINOTTI,Cinotti,Patronyme d'origine italienne.
CINTEGABELLE,Cintegabelle,Petite ville du département de la Haute-Garonne.
CINTHIE,Cinthie,Variante orthographique du prénom Cynthie.
CIO,CIO,"Sigle du Comité international olympique, instance dirigeante du mouvement olympique."
CIPM,CIPM,"Sigle du Comité international des poids et mesures, organisme chargé de superviser le système métrique international."
CIRCASSIE,Circassie,"Région historique du nord du Caucase, peuplée traditionnellement par les Circassiens."
CIRCE,Circé,"1) Magicienne de la mythologie grecque, célèbre dans l'Odyssée pour avoir transformé les compagnons d'Ulysse en pourceaux. 2) Astéroïde de la ceinture principale qui porte son nom."
CISJORDANIE,Cisjordanie,Territoire palestinien situé à l'ouest du Jourdain.
CITEAUX,Cîteaux,"Abbaye de Bourgogne, berceau de l'ordre cistercien."
CITROEN,Citroën,"1) Patronyme, notamment celui d'André Citroën. 2) Constructeur automobile français qu'il a fondé."
CITY,City,Quartier financier historique de Londres.
CIZOS,Cizos,Village du département des Hautes-Pyrénées.
CLAREDE,Clarède,"Lieu-dit de la commune de Montastruc-de-Salies, en Haute-Garonne."
CLARENDON,Clarendon,"Municipalité de la municipalité régionale de comté de Pontiac, au Québec."
CLARENSAC,Clarensac,Commune du département du Gard.
CLAUDETTE,Claudette,"Prénom féminin, diminutif de Claude."
CLAYRA,Clayra,"Ancienne graphie de Claira, village des Pyrénées-Orientales."
CLEENEWERCK,Cleenewerck,Patronyme porté en France.
CLELIE,Clélie,1) Jeune Romaine légendaire qui s'échappa d'un camp étrusque en traversant le Tibre à la nage. 2) Prénom féminin d'origine latine qui en est tiré.
CLEM,Clém,"Diminutif mixte des prénoms Clément, Clémentine ou Clémence, équivalent de l'anglais Clem."
CLEMENCEAU,Clemenceau,"Patronyme, notamment celui de l'homme d'État français Georges Clemenceau."
CLEMIE,Clémie,Diminutif du prénom féminin Clémentine.
CLEMONT,Clémont,Commune du département du Cher.
CLEOBULE,Cléobule,"Sage grec de l'Antiquité, compté parmi les Sept Sages de la Grèce."
CLEOPATRE,Cléopâtre,"1) Prénom féminin popularisé par les souveraines d'Égypte ptolémaïque. 2) Dernière reine d'Égypte de la dynastie lagide, connue pour ses alliances avec Jules César puis Marc Antoine."
CLERICY,Cléricy,"Quartier et ancienne municipalité de la municipalité régionale de comté de Rouyn-Noranda, en Abitibi-Témiscamingue, au Québec."
CLERMONT,Clermont,"Municipalité de canton de la municipalité régionale de comté d'Abitibi-Ouest, en Abitibi-Témiscamingue, au Québec."
CLERVAL,Clerval,"Municipalité de la municipalité régionale de comté d'Abitibi-Ouest, en Abitibi-Témiscamingue, au Québec."
CLERY,Cléry,Prénom masculin et nom de famille français.
CLEVES,Clèves,"Ville d'Allemagne, en Rhénanie-du-Nord-Westphalie, sur le Rhin inférieur."
CLIGNANCOURT,Clignancourt,"Quartier du nord de Paris, connu pour son marché aux puces."
CLISTHENE,Clisthène,"Homme d'État athénien de l'Antiquité, réformateur considéré comme le fondateur de la démocratie athénienne."
CLOTHILDE,Clothilde,"Prénom féminin, variante de Clotilde."
CLOVIS,Clovis,"Prénom masculin porté notamment par quatre rois francs, dont le premier unifia les Francs au Ve siècle."
CMA,CMA,"Sigle de Compagnie maritime d'affrètement, entreprise française de transport maritime."
CMM,CMM,"Sigle de Communauté métropolitaine de Montréal, organisme intermunicipal créé en 2002 pour administrer le territoire métropolitain montréalais, en remplacement de la Communauté urbaine de Montréal."
CMU,CMU,"Sigle de couverture maladie universelle, dispositif français d'accès aux soins pour les personnes sans autre couverture sociale."
CNES,CNES,"Sigle de Centre national d'études spatiales, l'agence spatiale française."
CNIDE,Cnide,"Ancienne cité grecque d'Asie Mineure, aujourd'hui en Turquie."
CNR,CNR,"Sigle de Conseil national de la Résistance, instance qui coordonna les mouvements de résistance français pendant l'Occupation."
CNRS,CNRS,"Sigle de Centre national de la recherche scientifique, principal organisme public de recherche en France."
CNSS,CNSS,"Sigle de Caisse nationale de sécurité sociale, organisme chargé de la gestion de la sécurité sociale dans certains pays francophones."
COACOVEC,Coacovec,"Lieu-dit de la commune de Saint-Barnabé, dans les Côtes-d'Armor, en Bretagne."
COATICOOK,Coaticook,"Municipalité régionale de comté de la région de l'Estrie, au Québec."
COBLENCE,Coblence,"Ville allemande de Rhénanie-Palatinat, située au confluent du Rhin et de la Moselle."
COCHIN,Cochin,"1) Nom de famille français. 2) Nom usuel désignant l'hôpital Cochin, établissement hospitalier parisien."
COCHINCHINE,Cochinchine,"Ancienne région du sud du Vietnam, colonie française de 1862 à 1949."
COCYTE,Cocyte,"Dans la mythologie grecque, l'un des fleuves des Enfers."
COELESYRIE,Cœlésyrie,"Variante orthographique de Cœlé-Syrie, région historique du Proche-Orient antique."
COIMBRE,Coïmbre,"1) Ville du centre du Portugal, ancienne capitale du royaume portugais et siège d'une université fondée au XIIIe siècle. 2) District administratif portugais dont elle est le chef-lieu."
COLAPINTO,Colapinto,Nom de famille d'origine italienne.
COLCHIDE,Colchide,"Région historique de l'Antiquité, sur la rive orientale de la mer Noire, correspondant à l'ouest de la Géorgie actuelle."
COLETTE,Colette,"Prénom féminin, diminutif de Nicolette, lui-même dérivé de Nicolas."
COLINE,Coline,"Prénom féminin, diminutif de Nicoline, dérivé de Nicolas."
COLLETT,Collett,Nom de famille d'origine patronymique.
COLLIN,Collin,"Nom de famille courant, d'origine patronymique."
COLMAR,Colmar,"Ville du centre de l'Alsace, chef-lieu du département du Haut-Rhin."
COLOMBIE,Colombie,"Pays d'Amérique du Sud, bordé par la mer des Caraïbes et l'océan Pacifique."
COLOMIERS,Colomiers,"Commune de la Haute-Garonne, dans l'agglomération toulousaine."
COLORADO,Colorado,1) Fleuve d'Amérique du Nord prenant sa source dans les montagnes Rocheuses et se jetant dans le golfe de Californie. 2) État de l'ouest des États-Unis.
COLOSSEE,Colossée,"Ancienne forme de Colisée, désignant le grand amphithéâtre de la Rome antique."
COLTAINVILLE,Coltainville,"Village du département d'Eure-et-Loir, en région Centre-Val de Loire."
COMBANI,Combani,"Village de la commune de Tsingoni, à Mayotte."
COMBILLOU,Combillou,"Lieu-dit de la commune de Brassac, dans le Tarn-et-Garonne."
COMBOURG,Combourg,"Commune d'Ille-et-Vilaine, en Bretagne, connue pour son château associé à Chateaubriand."
COME,Côme,"1) Prénom masculin, équivalent français de Cosme. 2) Ville d'Italie du Nord, chef-lieu de la province du même nom, en Lombardie. 3) Province de Lombardie entourant cette ville."
COMEAU,Comeau,Nom de famille répandu au Québec et dans les provinces maritimes du Canada.
COMINES,Comines,"Ville de part et d'autre de la frontière franco-belge, dans les Hauts-de-France et en Flandre-Occidentale."
COMINO,Comino,"Petite île de l'archipel maltais, entre Malte et Gozo."
COMMAGENE,Commagène,"Ancien royaume gréco-iranien du nord-est de l'Anatolie, dans la Turquie actuelle."
COMMINGES,Comminges,"Ancienne région de Gascogne, autour de Saint-Gaudens, aujourd'hui en Haute-Garonne."
COMORES,Comores,"Archipel et pays de l'océan Indien, au large de l'Afrique de l'Est, dont fait aussi partie l'île de Mayotte, restée française."
COMPOSTELLE,Compostelle,"Ville de Galice, en Espagne, célèbre lieu de pèlerinage abritant le tombeau supposé de l'apôtre Jacques."
CONCARNEAU,Concarneau,"Commune du Finistère, en Bretagne, port de pêche connu pour sa ville close fortifiée."
CONCOTS,Concots,"Village du département du Lot, en Occitanie."
CONDAT,Condat,"1) Commune du Cantal, en Auvergne. 2) Nom parfois employé pour Condat-sur-Vézère, en Dordogne."
CONFITUREMBOURG,Confiturembourg,"Capitale imaginaire du royaume des poupées, dans la traduction par Alexandre Dumas du conte de Hoffmann Casse-Noisette."
CONFUCIUS,Confucius,"Philosophe et penseur chinois de l'Antiquité, dont l'enseignement moral a fondé le confucianisme."
CONGY,Congy,"Commune du département de la Marne, en Champagne."
CONSERANS,Conserans,"Ancienne orthographe de Couserans, région historique de l'Ariège."
CONSTANTINOPLE,Constantinople,"Ancien nom d'Istanbul, capitale successive de l'Empire byzantin puis de l'Empire ottoman, jusqu'en 1930."
CONTRAZY,Contrazy,"Village du département de l'Ariège, en Occitanie."
COPENHAGUE,Copenhague,"Capitale du Danemark, sur les îles de Sjælland et Amager."
CORCORANS,Corcorans,"Forme plurielle du nom de famille Corcoran, d'origine irlandaise."
CORCYRE,Corcyre,"Nom antique de l'île de Corfou, en Grèce."
CORDOUE,Cordoue,"1) Ville d'Andalousie, en Espagne, ancienne capitale du califat omeyyade. 2) Province andalouse dont elle est le chef-lieu."
CORDUENE,Corduène,"Région historique du sud-est de l'Anatolie antique, aujourd'hui au Kurdistan."
CORFOU,Corfou,"Île grecque de la mer Ionienne, proche des côtes de l'Albanie, dont le chef-lieu porte le même nom."
CORIOLIS,Coriolis,"Nom de famille français, porté notamment par le physicien ayant donné son nom à un effet de mécanique des fluides."
CORNECU,Cornecu,"Lieu-dit de la commune de Saint-Lizier, dans l'Ariège."
CORNOUAILLE,Cornouaille,"Région historique de la pointe occidentale de la Bretagne, dont le nom rappelle les migrations de colons venus de Cornouailles britannique."
CORNOUAILLES,Cornouailles,"Péninsule et comté du sud-ouest de l'Angleterre, bordé par le Devon."
CORRE,Corre,Nom de famille d'origine bretonne.
CORREZE,Corrèze,"1) Département de la région Nouvelle-Aquitaine, dans l'ancien Limousin. 2) Rivière affluent de la Vézère qui lui a donné son nom."
CORYCIE,Corycie,"Dans la mythologie grecque, nymphe associée au mont Parnasse."
CORYQUE,Coryque,"Ancienne cité côtière d'Asie Mineure, en Cilicie."
COS,Cos,"Île grecque du Dodécanèse, patrie du médecin Hippocrate."
COSNARD,Cosnard,Nom de famille français.
COSNE,Cosne,"Nom usuel de Cosne-Cours-sur-Loire, commune de la Nièvre."
COSTA,Costa,"Nom de famille d'origine occitane, équivalent du français Côté."
COTILLARD,Cotillard,Nom de famille français.
COTOREP,COTOREP,"Abréviation syllabique de commission technique d'orientation et de reclassement professionnel, ancienne instance française chargée de l'orientation professionnelle des personnes handicapées."
COTTY,Cotty,"Lieu-dit de la commune de Montjoi, dans le Tarn-et-Garonne."
COUABISE,Couabise,"Ferme de la commune de Saint-Ybars, dans l'Ariège."
COUFFUT,Couffut,"Lieu-dit de la commune de Montjoi, dans le Tarn-et-Garonne."
COUFLENS,Couflens,"Village du département de l'Ariège, en Occitanie."
COUPIANSK,Coupiansk,"Orthographe rare de Koupiansk, ville d'Ukraine."
COURBEVOIE,Courbevoie,"Commune des Hauts-de-Seine, dans la banlieue proche de Paris, abritant une partie du quartier d'affaires de La Défense."
COURBIEU,Courbieu,"Lieu-dit de la commune de Prat-Bonrepaux, dans l'Ariège."
COURSEULLES,Courseulles,"Ancienne appellation, encore usitée, de Courseulles-sur-Mer, commune du Calvados en Normandie."
COURTAGNON,Courtagnon,"Village du département de la Marne, en Grand Est."
COURTRAI,Courtrai,"Ville de Belgique, en Flandre-Occidentale, connue en néerlandais sous le nom de Kortrijk."
COUSERANS,Couserans,"Région historique du sud du département de l'Ariège, en Occitanie."
COUSSAU,Coussau,"Lieu-dit de la commune de Prat-Bonrepaux, dans l'Ariège."
COUSTALAT,Coustalat,"1) Lieu-dit de la commune de Mercenac, dans l'Ariège. 2) Nom de famille d'origine occitane."
COUSTALATS,Coustalats,"Lieu-dit porté par plusieurs communes du sud-ouest de la France, notamment dans le Gers et la Haute-Garonne."
COUSTALOU,Coustalou,"Lieu-dit de la commune de Brassac, dans le Tarn-et-Garonne."
COUSTANS,Coustans,"Lieu-dit de la commune de Saint-Lizier, dans l'Ariège."
CPR,CPR,"Sigle de Comité paralympique russe, instance sportive de Russie pour le mouvement paralympique."
CRABOUTE,Craboute,"Lieu-dit de la commune de Prat-Bonrepaux, dans l'Ariège."
CRACOVIE,Cracovie,"Ville du sud de la Pologne, sur la Vistule, ancienne capitale du royaume de Pologne."
CRAMADO,Cramado,"Lieu-dit de la commune de Caumont, dans l'Ariège."
CRAMCHABAN,Cramchaban,"Variante orthographique de Cram-Chaban, commune de Charente-Maritime."
CRAMPAGNA,Crampagna,"Village du département de l'Ariège, en Occitanie."
CRAON,Craon,"Commune du département de la Mayenne, en Pays de la Loire."
CRATEIS,Cratéis,"Dans la mythologie grecque, figure maternelle du monstre marin Scylla."
CREGOLS,Crégols,"Village du département du Lot, en Occitanie."
CREST,Crest,"Commune de la Drôme, en Auvergne-Rhône-Alpes, connue pour son donjon médiéval."
CRETEIL,Créteil,"Ville du Val-de-Marne, chef-lieu de ce département, en Île-de-France."
CRIGOLS,Crigols,"Ancienne forme du nom de Crégols, village du Lot."
CRIMEE,Crimée,"Péninsule d'Europe orientale s'avançant dans la mer Noire, annexée par la Russie en 2014 mais reconnue internationalement comme ukrainienne."
CROATIE,Croatie,"Pays des Balkans, en Europe du Sud-Est, bordant la mer Adriatique."
CRONOS,Cronos,"Dans la mythologie grecque, titan père de Zeus, souverain des dieux avant d'être détrôné par son fils."
CROZON,Crozon,"Commune du Finistère, en Bretagne, donnant son nom à la presqu'île qui s'avance dans l'Atlantique."
CRTC,CRTC,"Sigle de Conseil de la radiodiffusion et des télécommunications canadiennes, organisme fédéral de régulation des médias au Canada."
CRUOU,Cruou,"Cours d'eau affluent du Créneau, dans l'Aveyron, en Occitanie."
CSA,CSA,"1) Sigle de Conseil supérieur de l'audiovisuel, ancienne autorité française de régulation des médias audiovisuels. 2) Association canadienne de normalisation, organisme de certification technique."
CSARS,CSARS,"Sigle de Comité de surveillance des activités de renseignement de sécurité, organisme canadien chargé du contrôle des services de renseignement."
CSL,CSL,"Sigle usuel de Côte-Saint-Luc, ville de l'agglomération de Montréal, au Québec."
CSN,CSN,"Sigle de conseil supérieur du notariat, instance représentative des notaires en France."
CSQ,CSQ,"Sigle de Centrale des syndicats du Québec, importante organisation syndicale québécoise."
CST,CST,"Sigle de Centre de la sécurité des télécommunications, agence canadienne de renseignement électronique."
CSTC,CSTC,"Sigle de Centre de la sécurité des télécommunications Canada, agence fédérale de cyberdéfense et de renseignement d'origine électromagnétique."
CTCUM,CTCUM,"Sigle de Commission de transport de la Communauté urbaine de Montréal, organisme ayant géré le réseau de transport en commun montréalais entre 1970 et 1985."
CTM,CTM,"Sigle de Commission de transport de Montréal, ancien organisme gestionnaire du réseau de transport en commun de l'île de Montréal jusqu'en 1970."
CUCUGNAN,Cucugnan,"Village de l'Aude, en Occitanie, rendu célèbre par un sermon conté par Alphonse Daudet."
CUCURON,Cucuron,"Village du Vaucluse, en Provence."
CUGURON,Cuguron,"Village de la Haute-Garonne, en Occitanie."
CUM,CUM,"Sigle de Communauté urbaine de Montréal, structure intermunicipale ayant administré l'île de Montréal de 1970 à 2002, avant d'être remplacée par la Communauté métropolitaine de Montréal."
CUMES,Cumes,"Ancienne cité grecque puis romaine près de Naples, célèbre pour sa sibylle."
CUQUERON,Cuqueron,"Village des Pyrénées-Atlantiques, en Nouvelle-Aquitaine."
CYBELE,Cybèle,Déesse mère vénérée par les peuples d'Asie Mineure dans l'Antiquité.
CYCHREE,Cychrée,"Dans la mythologie grecque, héros fils de Poséidon et de la nymphe Salamine."
CYCLADES,Cyclades,"Archipel grec de la mer Égée, disposé en cercle autour de l'île de Délos."
CYNTHE,Cynthe,"Montagne de l'île grecque de Délos, présentée par la mythologie comme le lieu de naissance d'Apollon et d'Artémis."
CYNTHIA,Cynthia,"Prénom féminin d'origine grecque, lié au mont Cynthe de Délos."
CYNTHIE,Cynthie,Ancienne forme du prénom Cynthia.
CYNURIE,Cynurie,"Ancienne région du Péloponnèse, en Grèce, entre la Laconie et l'Argolide."
CYPRE,Cypre,"Ancienne forme du nom de Chypre, île de Méditerranée orientale."
CYRILLE,Cyrille,"Prénom, masculin ou plus rarement féminin, équivalent français de Cyril."
CYSSUNTE,Cyssunte,"Ancienne cité portuaire de la côte d'Ionie, en Asie Mineure, mentionnée par l'historien Tite-Live."
CYTHERE,Cythère,"Île grecque de la mer Ionienne, associée dans la mythologie au culte d'Aphrodite."
DADOU,Dadou,"1) Rivière du sud de la France, affluent de l'Agout. 2) Nom de famille."
DAECH,Daech,Acronyme arabe désignant l'organisation djihadiste également connue sous le nom d'État islamique.
DAF,DAF,"Sigle de Dictionnaire de l'Académie française, ouvrage de référence lexicographique publié par cette institution."
DAGHESTAN,Daghestan,"République du Caucase, sujet fédéral de la Russie, bordant la mer Caspienne."
DAGUESTAN,Daguestan,"Variante orthographique de Daghestan, république du Caucase russe."
DAKAR,Dakar,"Capitale du Sénégal, sur la presqu'île du Cap-Vert."
DALHOUSIE,Dalhousie,"Ville du comté de Restigouche, au Nouveau-Brunswick, au Canada."
DALILA,Dalila,"1) Figure biblique, maîtresse de Samson dont elle causa la perte. 2) Prénom féminin qui en est tiré."
DALLAGO,Dallago,Nom de famille d'origine italienne.
DALLAIRE,Dallaire,Nom de famille surtout répandu au Québec.
DALMATIE,Dalmatie,1) Région historique de la côte adriatique de la Croatie. 2) Ancienne province de l'Empire romain qui couvrait ce territoire.
DAMOCLES,Damoclès,"Courtisan de la légende grecque à qui un tyran fit servir un festin sous une épée suspendue à un crin de cheval, d'où l'expression l'épée de Damoclès."
DANAULT,Danault,Nom de famille français.
DANDJINOU,Dandjinou,Nom de famille d'Afrique de l'Ouest.
DANEMARK,Danemark,"Pays d'Europe du Nord, entre la mer du Nord et la mer Baltique."
DANIEL,Daniel,1) Prophète biblique et livre de l'Ancien Testament qui porte son nom. 2) Prénom masculin d'origine hébraïque qui en découle.
DANIELE,Danièle,"Prénom féminin, forme féminine de Daniel."
DANIELLE,Danielle,"Prénom féminin, forme féminine de Daniel."
DANUBE,Danube,"Fleuve d'Europe centrale et orientale, né en Allemagne et se jetant dans la mer Noire après avoir traversé plusieurs capitales."
DANY,Dany,"Prénom mixte, diminutif de Daniel ou de Danielle."
DANZIG,Danzig,"Nom allemand de Gdańsk, ville portuaire du nord de la Pologne."
DAOUST,Daoust,"Nom de famille français, apparenté au prénom Auguste."
DAQUIN,Daquin,"Nom de famille d'origine patronymique, porté notamment par un compositeur et organiste français du XVIIIe siècle."
DARDANELLES,Dardanelles,"Détroit reliant la mer Égée à la mer de Marmara, en Turquie."
DARDANIE,Dardanie,"Région antique habitée par le peuple des Dardaniens, dans les Balkans."
DARFOUR,Darfour,"Région de l'ouest du Soudan, marquée par un conflit armé majeur depuis les années 2000."
DAUDET,Daudet,"Nom de famille français, porté notamment par l'écrivain provençal Alphonse Daudet."
DAUZAT,Dauzat,Nom de famille d'origine occitane.
DAVID,David,"1) Roi biblique d'Israël, vainqueur du géant Goliath. 2) Prénom masculin qui en est tiré. 3) Nom de famille d'origine patronymique."
DAVY,Davy,"Nom de famille dérivé de David, également employé comme prénom masculin."
DAX,Dax,"Commune des Landes, en Nouvelle-Aquitaine, réputée pour ses eaux thermales."
DCAMC,DcamC,"Abréviation de dessin de camouflage canadien, motif de camouflage utilisé par les forces armées du Canada."
DDO,DDO,"Sigle usuel de Dollard-Des Ormeaux, municipalité de l'agglomération de Montréal, au Québec."
DEAUVILLE,Deauville,"1) Commune côtière du Calvados, en Normandie, station balnéaire réputée. 2) Nom de famille."
DEBALTSEVE,Debaltseve,"Ville de l'oblast de Donetsk, en Ukraine, sous contrôle séparatiste prorusse depuis la bataille de 2015."
DEBALTSEVO,Debaltsevo,"Forme russe du nom de la ville ukrainienne de Debaltseve, dans l'oblast de Donetsk."
DEBALTSOVO,Debaltsovo,"Variante orthographique de Debaltsevo, ville de l'oblast de Donetsk, en Ukraine."
DEBES,Debès,"Nom de famille français, porté par plusieurs personnalités, dont un homme politique du XIXe siècle et un gardien de but devenu entraîneur."
DEBORA,Débora,"1) Figure biblique, prophétesse et juge d'Israël. 2) Prénom féminin qui en dérive."
DEBORAH,Déborah,Variante orthographique moderne du prénom Débora.
DEBRECEN,Debrecen,"Deuxième ville de Hongrie par la population, dans l'est du pays."
DEBUSSY,Debussy,"Nom de famille français, porté notamment par le compositeur Claude Debussy, figure majeure de la musique impressionniste."
DECARIE,Décarie,Nom de famille surtout répandu au Québec.
DECOTEAU,Decoteau,Nom de famille répandu en Amérique du Nord.
DEDE,Dédé,Diminutif familier du prénom André.
DEDIEU,Dedieu,Nom de famille d'origine occitane.
DEINOKRATES,Deinokratès,"Prénom masculin grec ancien, porté notamment par un architecte de l'Antiquité au service d'Alexandre le Grand."
DEKKAN,Dekkan,Vaste plateau du centre et du sud de l'Inde.
DELAGRANGE,Delagrange,Nom de famille français d'origine toponymique.
DELEAGE,Déléage,"Municipalité de la municipalité régionale de comté de La Vallée-de-la-Gatineau, en Outaouais, au Québec."
DELISLE,Delisle,"Nom de famille français, issu du nom commun désignant une île."
DELOBEL,Delobel,Nom de famille français.
DELPHES,Delphes,"Site antique de Grèce, sur les pentes du mont Parnasse, siège du célèbre oracle d'Apollon."
DELYANKIR,Delyankir,"Village de la république de Sakha, en Russie."
DEMBENI,Dembeni,"Commune de Mayotte, dans l'océan Indien."
DEMETER,Déméter,"Dans la mythologie grecque, déesse des moissons et de l'agriculture, mère de Perséphone."
DEMOCRITE,Démocrite,"Philosophe grec de l'Antiquité, précurseur de la théorie atomiste de la matière."
DEMOSTHENE,Démosthène,"Homme d'État et orateur athénien de l'Antiquité, célèbre pour ses discours contre Philippe de Macédoine."
DENAULT,Denault,Nom de famille français.
DENHOLM,Denholm,"Municipalité de la municipalité régionale de comté de La Vallée-de-la-Gatineau, en Outaouais, au Québec."
DENISE,Denise,"Prénom féminin, forme féminine de Denis."
DENTREMONT,Dentremont,"Nom de famille, variante d'Entremont."
DEODAT,Déodat,"Prénom masculin et nom de famille français, d'origine latine signifiant « donné à Dieu »."
DERRIDA,Derrida,"Nom de famille, porté notamment par le philosophe français Jacques Derrida, fondateur de la déconstruction."
DESAULNIERS,Desaulniers,"Nom de famille français d'origine toponymique, lié à la présence d'aulnes."
DESBIENS,Desbiens,"1) Nom de famille québécois. 2) Ville de la région du Saguenay–Lac-Saint-Jean, au Québec."
DESCARTES,Descartes,"Nom de famille français, porté par le philosophe et mathématicien René Descartes, auteur du Discours de la méthode au XVIIe siècle."
DESCEMET,Descemet,"Nom de famille français, porté par un anatomiste ayant donné son nom à une membrane de la cornée."
DESCHANEL,Deschanel,Nom de famille d'origine occitane.
DESCHENES,Deschênes,Nom de famille courant au Québec.
DESJARDINS,Desjardins,"Nom de famille particulièrement répandu au Québec, porté notamment par le fondateur du mouvement coopératif financier du même nom."
DESMARAIS,Desmarais,"Nom de famille français d'origine toponymique, lié à la présence d'un marais."
DESNOYERS,Desnoyers,"Nom de famille français d'origine toponymique, lié à la présence de noyers."
DESPATIE,Despatie,Nom de famille québécois.
DESPAUTERE,Despautère,"Forme francisée du nom du grammairien flamand Jan de Spauter, humaniste du XVIe siècle connu pour ses ouvrages de grammaire latine."
DESPRES,Després,"Nom de famille français d'origine toponymique, évoquant la proximité d'un pré."
DESROCHERS,Desrochers,"Nom de famille d'origine toponymique, particulièrement répandu au Canada, lié à la présence de rochers."
DESROSIERS,Desrosiers,"Nom de famille français, lié à la présence de rosiers."
DEST,DEST,"Sigle de diplôme d'études supérieures techniques, ancien diplôme français."
DESTOR,Destor,"Quartier et ancienne municipalité de la municipalité régionale de comté de Rouyn-Noranda, en Abitibi-Témiscamingue, au Québec."
DESTOUR,Destour,Parti politique tunisien fondé au XXe siècle pour l'indépendance de la Tunisie vis-à-vis de la France.
DEUCALION,Deucalion,"Dans la mythologie grecque, fils de Prométhée qui survécut au déluge envoyé par Zeus avec son épouse Pyrrha."
DEVILLE,Deville,Nom de famille français d'origine toponymique.
DEWARRAT,Dewarrat,Nom de famille d'origine toponymique.
DGSE,DGSE,"Sigle de Direction générale de la sécurité extérieure, service de renseignement extérieur français."
DGSI,DGSI,"Sigle de Direction générale de la sécurité intérieure, service de renseignement chargé du contre-espionnage et de la lutte antiterroriste en France."
DIALLO,Diallo,"Nom de famille d'Afrique de l'Ouest, d'origine peule."
